epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44701,2.37595,3.90171,1.92071,0.00339,0.54902,0.0477,0.02047,1.99018,3.86836,1.4049,0.00026,0.00026,0.00026
2,8.54583,2.01605,2.88396,1.58641,0.00291,0.47059,0.02866,0.01747,1.80384,3.75347,1.33617,0.000529308,0.000529308,0.000529308
3,12.6231,1.86183,2.50065,1.49977,0.00327,0.52941,0.02367,0.00693,1.74764,3.7278,1.32393,0.000787528,0.000787528,0.000787528
4,14.7764,1.86713,2.21722,1.42459,0.00496,0.5,0.13112,0.0595,1.73396,3.56477,1.32969,0.00103466,0.00103466,0.00103466
5,16.9367,1.79474,2.16894,1.40612,0.6931,0.13725,0.30012,0.13374,1.87164,3.01649,1.43879,0.0012707,0.0012707,0.0012707
6,19.3993,1.78574,2.0689,1.42554,0.55262,0.21569,0.26974,0.11628,2.00556,2.65716,1.54111,0.00149566,0.00149566,0.00149566
7,21.6991,1.78259,1.99369,1.37129,0.52941,0.45098,0.50831,0.22164,1.90196,2.07525,1.55284,0.00170953,0.00170953,0.00170953
8,25.2508,1.85016,1.98635,1.44674,0.58211,0.55882,0.53718,0.25255,1.85789,1.89364,1.4352,0.0017228,0.0017228,0.0017228
9,28.0424,1.77142,1.87436,1.42143,0.55515,0.57843,0.50702,0.18568,1.97565,2.01772,1.46367,0.0016832,0.0016832,0.0016832
10,30.5613,1.7659,1.8442,1.3968,0.45187,0.5,0.48136,0.19898,1.89055,1.88875,1.48337,0.0016436,0.0016436,0.0016436
11,32.6199,1.73776,1.83496,1.38799,0.6185,0.46078,0.51497,0.24213,1.86402,1.88113,1.39801,0.001604,0.001604,0.001604
12,35.5076,1.72107,1.75839,1.36368,0.58307,0.58824,0.56314,0.25081,1.87069,1.86314,1.43387,0.0015644,0.0015644,0.0015644
13,37.4524,1.72716,1.69195,1.36648,0.44538,0.55882,0.49544,0.21134,1.80349,1.70155,1.39753,0.0015248,0.0015248,0.0015248
14,39.7259,1.76699,1.68816,1.38874,0.54822,0.45098,0.50241,0.22936,1.9585,1.66083,1.43121,0.0014852,0.0014852,0.0014852
15,42.2681,1.78564,1.65769,1.39664,0.666,0.55882,0.61354,0.27213,1.82719,1.61259,1.36506,0.0014456,0.0014456,0.0014456
16,45.2627,1.68078,1.58344,1.36508,0.60405,0.48039,0.54926,0.26143,1.89879,1.61465,1.38305,0.001406,0.001406,0.001406
17,47.5344,1.73856,1.52824,1.40265,0.62698,0.63725,0.65299,0.27537,1.88343,1.51782,1.40891,0.0013664,0.0013664,0.0013664
18,50.0032,1.67701,1.49774,1.35772,0.58137,0.65686,0.61663,0.28134,1.84966,1.43337,1.37388,0.0013268,0.0013268,0.0013268
19,52.0043,1.63773,1.45881,1.35513,0.75591,0.63725,0.69422,0.29399,1.9155,1.35681,1.40321,0.0012872,0.0012872,0.0012872
20,54.5935,1.67434,1.45029,1.33561,0.72766,0.60253,0.69618,0.29535,1.8606,1.42833,1.35968,0.0012476,0.0012476,0.0012476
21,57.1798,1.69524,1.45387,1.36302,0.67507,0.55882,0.63069,0.28745,1.87904,1.48365,1.37933,0.001208,0.001208,0.001208
22,60.0004,1.67753,1.35896,1.326,0.7678,0.61595,0.6627,0.29,1.9125,1.42257,1.39958,0.0011684,0.0011684,0.0011684
23,62.4536,1.65053,1.3816,1.34306,0.69995,0.59467,0.67958,0.29807,1.83661,1.30734,1.33185,0.0011288,0.0011288,0.0011288
24,64.4933,1.5924,1.36781,1.31205,0.74776,0.59804,0.6508,0.28242,1.92358,1.32917,1.40208,0.0010892,0.0010892,0.0010892
25,67.4304,1.54678,1.30079,1.28275,0.76142,0.59804,0.67609,0.31602,1.85626,1.37768,1.37623,0.0010496,0.0010496,0.0010496
26,69.313,1.56083,1.28577,1.29734,0.6404,0.68627,0.6511,0.28871,1.92598,1.327,1.43352,0.00101,0.00101,0.00101
27,72.3521,1.60173,1.28339,1.32057,0.70295,0.63725,0.6672,0.31836,1.84607,1.27661,1.38542,0.0009704,0.0009704,0.0009704
28,74.288,1.52959,1.20131,1.27887,0.76496,0.64706,0.68946,0.30592,1.89034,1.2916,1.40627,0.0009308,0.0009308,0.0009308
29,76.624,1.55553,1.27194,1.31895,0.76708,0.67804,0.7267,0.33367,1.81319,1.23711,1.35656,0.0008912,0.0008912,0.0008912
30,79.0829,1.54085,1.16238,1.28386,0.71265,0.68083,0.66598,0.31748,1.81752,1.25554,1.33676,0.0008516,0.0008516,0.0008516
31,81.674,1.48968,1.14054,1.25354,0.73423,0.71569,0.73115,0.31813,1.88293,1.22714,1.36795,0.000812,0.000812,0.000812
32,83.7872,1.50013,1.1421,1.27021,0.82769,0.65686,0.74642,0.32409,1.89248,1.25032,1.3706,0.0007724,0.0007724,0.0007724
33,86.8216,1.53477,1.16167,1.27179,0.84349,0.64706,0.76175,0.34123,1.8652,1.19197,1.37334,0.0007328,0.0007328,0.0007328
34,88.6026,1.47262,1.09869,1.26023,0.75507,0.78431,0.77586,0.32642,1.86888,1.14468,1.37251,0.0006932,0.0006932,0.0006932
35,91.0161,1.43277,1.07564,1.2299,0.76614,0.73875,0.7664,0.33803,1.81943,1.10475,1.35105,0.0006536,0.0006536,0.0006536
36,93.2335,1.46282,1.08284,1.22589,0.77082,0.76471,0.76518,0.33361,1.88207,1.13402,1.3775,0.000614,0.000614,0.000614
37,95.615,1.43478,1.08208,1.23415,0.79477,0.7549,0.76371,0.34112,1.88423,1.15878,1.3694,0.0005744,0.0005744,0.0005744
38,97.963,1.48635,1.079,1.26816,0.79173,0.7454,0.74726,0.32756,1.89291,1.14874,1.38268,0.0005348,0.0005348,0.0005348
39,101.004,1.36996,1.04684,1.1874,0.80832,0.7442,0.78383,0.34776,1.85168,1.13667,1.36422,0.0004952,0.0004952,0.0004952
40,102.952,1.44292,1.19523,1.27545,0.75242,0.69608,0.72658,0.2944,1.99141,1.25104,1.44047,0.0004556,0.0004556,0.0004556
41,108.998,1.28668,0.98648,1.18118,0.77615,0.60784,0.71138,0.29958,1.96679,1.39041,1.42292,0.000416,0.000416,0.000416
42,111.664,1.27653,0.93035,1.1785,0.81917,0.71062,0.76147,0.35883,1.81168,1.1896,1.34544,0.0003764,0.0003764,0.0003764
43,113.876,1.19276,0.87263,1.11437,0.83965,0.76471,0.81076,0.36496,1.81176,1.07552,1.35049,0.0003368,0.0003368,0.0003368
44,115.723,1.18289,0.84883,1.14519,0.84369,0.71569,0.78685,0.36304,1.79972,1.07192,1.3543,0.0002972,0.0002972,0.0002972
45,118.255,1.18444,0.8328,1.1256,0.83505,0.72549,0.78218,0.37577,1.78114,1.09826,1.3474,0.0002576,0.0002576,0.0002576
46,119.923,1.16418,0.81429,1.10753,0.84406,0.74292,0.79711,0.38927,1.78457,1.08745,1.3434,0.000218,0.000218,0.000218
47,121.722,1.12297,0.78511,1.09086,0.81412,0.73529,0.78025,0.37238,1.81908,1.08185,1.35529,0.0001784,0.0001784,0.0001784
48,123.558,1.07351,0.76287,1.06318,0.79736,0.77156,0.79423,0.36913,1.84505,1.06292,1.36853,0.0001388,0.0001388,0.0001388
49,125.315,1.10834,0.807,1.10449,0.81534,0.77923,0.81211,0.37679,1.83096,1.05692,1.35954,9.92e-05,9.92e-05,9.92e-05
50,127.174,1.1092,0.78863,1.09661,0.83511,0.76471,0.80477,0.38162,1.80906,1.04801,1.35135,5.96e-05,5.96e-05,5.96e-05
