frame,track_id,x1,y1,x2,y2,conf,finger
9,2,470,2209,618,2345,0.76,Unknown
10,2,467,2208,617,2346,0.35,Unknown
11,2,464,2209,614,2347,0.38,Unknown
12,2,461,2205,616,2350,0.30,Unknown
12,4,780,2323,871,2402,0.30,Unknown
13,2,462,2209,614,2352,0.81,Unknown
13,4,783,2323,876,2403,0.81,Unknown
14,2,465,2214,610,2351,0.73,Thumb
14,4,785,2322,880,2404,0.73,Thumb
15,2,469,2217,609,2350,0.74,Thumb
15,4,788,2322,884,2405,0.74,Index
16,2,477,2226,606,2349,0.47,Pinky
16,4,791,2321,889,2406,0.47,Pinky
17,2,478,2228,606,2350,0.47,Pinky
17,4,793,2321,893,2408,0.47,Ring
18,2,479,2230,605,2351,0.47,Pinky
18,4,796,2321,897,2409,0.47,Ring
19,2,477,2231,599,2348,0.30,Ring
19,4,798,2320,901,2410,0.30,Ring
20,2,477,2233,598,2349,0.30,Pinky
20,4,801,2320,906,2411,0.30,Ring
21,2,478,2235,597,2349,0.30,Pinky
21,4,804,2319,910,2412,0.30,Ring
22,2,478,2237,596,2350,0.30,Pinky
22,4,806,2319,914,2413,0.30,Ring
23,2,478,2239,595,2350,0.30,Pinky
24,2,479,2241,594,2351,0.30,Pinky
25,2,462,2225,588,2347,0.31,Pinky
26,2,461,2227,585,2347,0.32,Ring
27,2,460,2227,583,2348,0.39,Ring
28,2,459,2228,582,2348,0.40,Pinky
29,2,458,2229,579,2348,0.39,Thumb
30,2,456,2229,578,2350,0.58,Thumb
31,2,458,2232,578,2351,0.49,Thumb
32,2,459,2234,578,2352,0.49,Thumb
33,2,460,2234,579,2353,0.43,Thumb
34,2,461,2233,580,2353,0.41,Thumb
35,2,461,2232,580,2353,0.39,Thumb
36,2,461,2233,580,2353,0.36,Ring
37,2,460,2232,578,2352,0.39,Ring
38,2,460,2232,577,2351,0.43,Thumb
39,2,458,2230,577,2351,0.56,Thumb
40,2,457,2228,576,2349,0.32,Thumb
41,2,455,2225,576,2348,0.38,Thumb
42,2,454,2224,575,2347,0.40,Middle
43,2,454,2223,575,2347,0.38,Ring
43,7,761,2325,839,2393,0.38,Ring
44,2,455,2224,574,2347,0.42,Middle
44,7,761,2325,839,2392,0.42,Thumb
45,2,455,2224,574,2347,0.36,Ring
45,7,757,2323,844,2398,0.36,Ring
46,2,454,2224,574,2347,0.30,Middle
46,7,752,2324,851,2409,0.30,Thumb
47,2,454,2223,573,2347,0.54,Ring
47,7,751,2324,853,2411,0.54,Thumb
48,2,453,2223,573,2347,0.52,Ring
48,7,750,2324,854,2413,0.52,Thumb
48,9,442,1751,547,1830,0.52,Ring
49,2,453,2223,572,2346,0.61,Ring
49,7,749,2324,856,2415,0.61,Thumb
49,9,446,1771,550,1851,0.61,Ring
50,2,452,2222,572,2346,0.59,Middle
50,7,748,2323,857,2417,0.59,Thumb
50,9,446,1788,544,1863,0.59,Ring
51,2,451,2222,572,2346,0.68,Middle
51,7,747,2323,859,2419,0.68,Thumb
51,9,444,1796,545,1873,0.68,Ring
52,2,451,2222,571,2346,0.71,Middle
52,7,746,2323,861,2421,0.71,Thumb
52,9,449,1811,535,1876,0.71,Ring
53,2,450,2221,571,2345,0.70,Middle
53,7,745,2323,862,2424,0.70,Thumb
53,9,449,1821,536,1886,0.70,Ring
54,2,450,2221,570,2345,0.61,Middle
54,7,744,2323,864,2426,0.61,Thumb
54,9,443,1826,538,1898,0.61,Ring
55,2,449,2220,570,2345,0.47,Middle
55,7,743,2323,866,2428,0.47,Thumb
55,9,444,1829,542,1903,0.47,Ring
56,7,742,2323,867,2430,0.37,Thumb
56,9,445,1832,541,1903,0.37,Ring
57,9,447,1834,545,1908,0.32,Ring
58,9,442,1839,551,1923,0.59,Ring
59,9,444,1847,548,1927,0.54,Ring
60,9,445,1851,548,1930,0.33,Ring
61,9,442,1853,546,1934,0.37,Thumb
62,9,445,1856,545,1934,0.40,Ring
62,12,746,2330,844,2396,0.40,Thumb
63,9,448,1858,548,1936,0.43,Ring
63,12,750,2328,843,2390,0.43,Thumb
64,9,448,1860,551,1941,0.45,Ring
64,12,751,2327,842,2388,0.45,Thumb
65,9,450,1867,549,1943,0.40,Ring
65,12,751,2326,846,2390,0.40,Thumb
66,9,450,1869,555,1951,0.38,Thumb
66,12,749,2327,847,2392,0.38,Thumb
67,9,451,1871,562,1958,0.43,Ring
67,12,750,2326,847,2391,0.43,Thumb
68,9,452,1873,566,1964,0.67,Ring
68,12,751,2326,848,2389,0.67,Thumb
69,9,457,1879,560,1961,0.31,Ring
69,12,752,2325,848,2388,0.31,Thumb
70,9,458,1879,557,1957,0.31,Ring
70,12,754,2324,848,2387,0.31,Thumb
71,9,458,1881,556,1957,0.36,Ring
71,12,755,2324,849,2386,0.36,Thumb
72,9,458,1881,557,1958,0.40,Ring
72,12,756,2323,849,2385,0.40,Thumb
73,9,462,1884,556,1957,0.34,Ring
73,12,748,2325,850,2392,0.34,Thumb
74,9,462,1885,558,1960,0.40,Ring
74,12,749,2327,848,2390,0.40,Thumb
75,9,462,1887,560,1963,0.47,Ring
75,12,748,2326,846,2388,0.47,Thumb
76,9,462,1885,560,1961,0.50,Ring
76,12,749,2326,846,2388,0.50,Thumb
77,9,461,1885,557,1958,0.37,Ring
77,12,749,2325,846,2387,0.37,Thumb
78,9,461,1884,556,1956,0.65,Ring
78,12,750,2325,845,2386,0.65,Thumb
79,9,459,1880,556,1954,0.72,Ring
79,12,750,2325,845,2385,0.72,Thumb
80,9,458,1879,557,1955,0.72,Thumb
80,12,750,2325,845,2385,0.72,Thumb
81,9,459,1879,557,1954,0.56,Ring
81,12,751,2324,845,2384,0.56,Thumb
82,9,453,1874,563,1959,0.45,Ring
82,12,751,2324,844,2383,0.45,Thumb
83,9,453,1873,565,1960,0.49,Ring
83,12,752,2324,844,2383,0.49,Thumb
84,9,459,1876,561,1956,0.48,Ring
84,12,752,2323,844,2382,0.48,Thumb
85,9,462,1879,561,1956,0.58,Ring
85,12,752,2323,843,2381,0.58,Thumb
86,9,463,1880,561,1956,0.42,Ring
87,9,463,1885,561,1961,0.31,Ring
88,9,460,1886,561,1964,0.46,Ring
88,14,741,2324,839,2391,0.46,Thumb
89,9,458,1885,562,1967,0.40,Ring
89,14,740,2324,840,2392,0.40,Thumb
90,9,460,1885,563,1966,0.47,Ring
90,14,740,2328,836,2393,0.47,Thumb
91,9,461,1885,563,1965,0.32,Ring
91,14,741,2331,833,2394,0.32,Pinky
92,9,464,1884,566,1963,0.50,Thumb
92,14,741,2332,832,2395,0.50,Thumb
93,9,467,1878,569,1958,0.39,Thumb
93,14,741,2334,832,2395,0.39,Thumb
93,18,485,2255,576,2343,0.39,Index
94,9,474,1875,574,1953,0.69,Thumb
94,14,742,2335,832,2396,0.69,Thumb
94,18,489,2252,581,2340,0.69,Index
95,9,475,1867,578,1948,0.38,Thumb
95,14,742,2337,831,2397,0.38,Thumb
95,18,494,2249,585,2337,0.38,Thumb
96,9,474,1860,576,1939,0.42,Thumb
96,14,742,2338,831,2398,0.42,Thumb
96,18,498,2247,590,2335,0.42,Thumb
97,9,475,1851,577,1930,0.39,Thumb
97,14,746,2326,854,2399,0.39,Thumb
97,18,503,2244,594,2332,0.39,Thumb
97,19,534,2378,611,2460,0.39,Thumb
98,9,495,1861,568,1914,0.31,Thumb
98,14,749,2326,854,2396,0.31,Thumb
98,18,507,2241,599,2329,0.31,Thumb
98,19,529,2378,622,2476,0.31,Thumb
99,9,499,1859,568,1910,0.31,Ring
99,14,755,2322,869,2394,0.31,Thumb
99,18,512,2239,603,2327,0.31,Middle
99,19,525,2378,633,2493,0.31,Ring
100,9,503,1858,568,1906,0.31,Ring
100,14,757,2321,872,2395,0.31,Pinky
100,18,516,2236,607,2324,0.31,Ring
100,19,521,2378,644,2509,0.31,Ring
101,9,506,1857,567,1902,0.35,Ring
101,14,759,2320,875,2395,0.35,Pinky
101,18,521,2233,612,2321,0.35,Ring
101,19,516,2378,655,2526,0.35,Ring
102,9,510,1855,567,1898,0.38,Ring
102,14,761,2320,878,2395,0.38,Thumb
102,18,525,2231,616,2319,0.38,Ring
102,19,512,2378,667,2542,0.38,Ring
103,9,513,1854,567,1893,0.52,Ring
103,14,763,2319,881,2395,0.52,Pinky
103,18,529,2228,621,2316,0.52,Ring
103,19,508,2378,678,2558,0.52,Ring
103,21,474,1725,583,1807,0.52,Ring
104,9,517,1853,567,1889,0.45,Ring
104,14,765,2319,884,2396,0.45,Pinky
104,19,503,2378,689,2575,0.45,Ring
104,21,483,1708,580,1781,0.45,Ring
105,9,520,1851,567,1885,0.61,Ring
105,14,766,2318,887,2396,0.61,Ring
105,19,499,2378,700,2591,0.61,Ring
105,21,481,1677,585,1756,0.61,Ring
